(01,02)->U:             -2561021287.124642800000000,UV:                   71568.446778236612000,V:                   27718.340248604225000
(01,03)->U:             -2561021287.124642800000000,UV:                   71568.446778236612000,V:                   27718.340248604225000
(01,04)->U:             -1983758558.863284800000000,UV:                   62988.229993599358000,V:                   16003.191204021290000
(02,01)->U:             -2561021287.124642800000000,UV:                   71568.446778236612000,V:                   27718.340248604225000
(02,03)->U:             -2561021287.124643300000000,UV:                   71568.446778236612000,V:                   27718.340248604221000
(02,04)->U:             -1983758558.863285100000000,UV:                   62988.229993599358000,V:                   16003.191204021286000
(03,01)->U:             -2561021287.124642800000000,UV:                   71568.446778236612000,V:                   27718.340248604225000
(03,02)->U:             -2561021287.124643300000000,UV:                   71568.446778236612000,V:                   27718.340248604221000
(03,04)->U:             -1983758558.863285100000000,UV:                   62988.229993599358000,V:                   16003.191204021286000
(04,01)->U:             -1983758558.863284800000000,UV:                   62988.229993599358000,V:                   16003.191204021290000
(04,02)->U:             -1983758558.863285100000000,UV:                   62988.229993599358000,V:                   16003.191204021286000
(04,03)->U:             -1983758558.863285100000000,UV:                   62988.229993599358000,V:                   16003.191204021286000
